2022-07-25 13:48:01.069346 ; Session        ; Debug       ; Session log loaded as 'C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\SessionLogs\editor 2022-07-25 13-48-00.txt'. [7.38 ms]
2022-07-25 13:48:01.113191 ; Session        ; Debug       ; Running '"C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\editor.exe" ' in 'C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug'.
2022-07-25 13:48:01.225075 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-07-25 13:48:01.226171 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-07-25 13:48:01.346293 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2022-07-25 13:48:01.357021 ; AssemblyFinder ; Debug       ; Found 30/85 assembly files. [34.4 ms]
2022-07-25 13:48:01.409901 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-07-25 13:48:01.421221 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2022-07-25 13:48:01.470092 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Engineering\Projecten\LedsGo\versie3_1en2samen\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-07-25 13:48:01.763428 ; Searcher       ; Debug       ; Ordered 28 assemblies according to references. [394 ms]
2022-07-25 13:48:02.175238 ; PluginManager  ; Debug       ; Found 18 plugin assemblies containing 267 plugin types. [808 ms]
2022-07-25 13:48:02.175238 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
