2022-07-19 17:04:08.637356 ; Session        ; Debug       ; Session log loaded as 'D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\SessionLogs\editor 2022-07-19 17-04-08.txt'. [15.7 ms]
2022-07-19 17:04:08.671264 ; Session        ; Debug       ; Running '"D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\editor.exe" ' in 'D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug'.
2022-07-19 17:04:08.763021 ; Session        ; Debug       ; Microsoft Windows 10.0.19043 X64
2022-07-19 17:04:08.763021 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-07-19 17:04:08.901651 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2022-07-19 17:04:08.981438 ; AssemblyFinder ; Debug       ; Found 30/85 assembly files. [78.0 ms]
2022-07-19 17:04:09.037287 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-07-19 17:04:09.044272 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2022-07-19 17:04:09.078180 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-07-19 17:04:09.406303 ; Searcher       ; Debug       ; Ordered 28 assemblies according to references. [409 ms]
2022-07-19 17:04:09.841658 ; PluginManager  ; Debug       ; Found 18 plugin assemblies containing 265 plugin types. [851 ms]
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 1.1.1.0          of Keysight.OpenTap.Licensing.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of PackageManager.exe
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 0.1.0-Development of OpenTap.Plugins.LedsGo.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.11.0+98498e58  of Csv.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of ResultsViewer.exe
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of RunExplorer.exe
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.CommunityEditionPopup.exe
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Sdk.New.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SqlDatabase.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.PostgreSQL.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 9.4.2+3009aace   of Keysight.OpenTap.Plugins.ResultListener.SQLite.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Found version 1.2.6+ef0ad804   of OpenTap.VSSdk.Installer.dll
2022-07-19 17:04:09.846644 ; PluginManager  ; Debug       ; Searched 30 Assemblies. [856 ms]
2022-07-19 17:04:09.899503 ; PluginManager  ; Debug       ; Loaded OpenTap. [627 us]
2022-07-19 17:04:09.899503 ; PluginManager  ; Debug       ; Loaded OpenTap. [847 us]
2022-07-19 17:04:09.989262 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [90.6 ms]
2022-07-19 17:04:10.042120 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [68.6 ms]
2022-07-19 17:04:10.048107 ; PluginManager  ; Debug       ; Loaded Keysight.OpenTap.Wpf. [360 us]
2022-07-19 17:04:10.193717 ; PluginManager  ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [27.0 ms]
2022-07-19 17:04:10.386203 ; PluginManager  ; Debug       ; Loaded mscorlib. [1.30 us]
2022-07-19 17:04:10.734275 ; Settings       ; Debug       ; EditorSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Editor.xml [1.09 s]
2022-07-19 17:04:10.750232 ; Resolver       ; Debug       ; Found match for MahApps.Metro, Version=1.3.0.0, Culture=neutral, PublicKeyToken=f4fb5a3c4d1e5b4f in D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\MahApps.Metro.1.3.0.0\MahApps.Metro.dll
2022-07-19 17:04:11.023501 ; GUI            ; Debug       ; Loaded Light Theme. [24.4 ms]
2022-07-19 17:04:11.051428 ; Resolver       ; Debug       ; Found match for AvalonDock, Version=4.60.0.0, Culture=neutral, PublicKeyToken=3e4669d2f30244f4 in D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Dependencies\AvalonDock.4.60.0.0\AvalonDock.dll
2022-07-19 17:04:11.522467 ; Settings       ; Debug       ; GuiControlsSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\GUI Controls.xml [302 ms]
2022-07-19 17:04:11.522467 ; Main           ; Debug       ; Window initial dimensions: 1934px, 1054px.
2022-07-19 17:04:11.576319 ; Settings       ; Debug       ; EngineSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Engine.xml [48.5 ms]
2022-07-19 17:04:11.579313 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [2.42 ms]
2022-07-19 17:04:11.588289 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Licensing, Version=1.1.1.0, Culture=neutral, PublicKeyToken=null in D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Packages\Keysight Licensing\Keysight.OpenTap.Licensing.dll
2022-07-19 17:04:11.616213 ; Session        ; Debug       ; Session log loaded as 'SessionLogs\SessionLog 2022-07-19 17-04-11.txt'. [5.45 ms]
2022-07-19 17:04:12.195665 ; Main           ; Debug       ; GUI initialized. [670 ms]
2022-07-19 17:04:12.195665 ; Main           ; Debug       ; Docking manager initialized. [71.7 us]
2022-07-19 17:04:12.197659 ; OpenTAP        ; Information ; OpenTAP version '9.17.4+ea67c63a' 64-bit initialized 07/19/2022 [4.00 s]
2022-07-19 17:04:12.252513 ; PluginManager  ; Debug       ; Loaded PackageManager. [395 us]
2022-07-19 17:04:12.252513 ; PluginManager  ; Debug       ; Loaded Editor. [27.2 us]
2022-07-19 17:04:12.260493 ; PluginManager  ; Debug       ; Loaded ResultsViewer. [7.34 ms]
2022-07-19 17:04:12.268470 ; PluginManager  ; Debug       ; Loaded RunExplorer. [7.45 ms]
2022-07-19 17:04:12.271463 ; Settings       ; Debug       ; ConnectionSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\Connections.xml [1.42 ms]
2022-07-19 17:04:12.271463 ; Settings       ; Debug       ; DutSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\DUTs.xml [597 us]
2022-07-19 17:04:12.285442 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.LedsGo. [9.02 ms]
2022-07-19 17:04:12.292413 ; Settings       ; Debug       ; InstrumentSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Bench\Default\Instruments.xml [21.0 ms]
2022-07-19 17:04:12.294416 ; Settings       ; Debug       ; ResultSettings loaded from D:\OneDrive - Page Computers\Engineering\Projecten\Opentap_LedsGo\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\Settings\Results.xml [1.30 ms]
2022-07-19 17:04:12.716018 ; Main           ; Information ; Latest version of 'Keysight Licensing' is 1.2, your version is 1.1. Please consider updating. [517 ms]
2022-07-19 17:04:12.716018 ; Main           ; Information ; Latest version of 'PathWave License Manager' is 2.5, your version is 2.4. Please consider updating. [517 ms]
2022-07-19 17:04:12.716018 ; Main           ; Information ; Latest version of 'OpenTAP' is 9.18, your version is 9.17. Please consider updating. [518 ms]
2022-07-19 17:04:12.716018 ; Main           ; Debug       ; Update check complete. [518 ms]
