2023-02-08 10:51:37.921953 ; Session        ; Debug       ; Session log loaded as 'C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\SessionLogs\tap 2023-02-08 10-51-37.txt'. [6.16 ms]
2023-02-08 10:51:37.942898 ; Session        ; Debug       ; Running '"C:\Users\Jonatan\AppData\Local\Temp\xby5zdql.fhj\tap.exe" package install C:\Users\Jonatan\Downloads\SSH.TapPackage --target "C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug"' in 'C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug'.
2023-02-08 10:51:37.975811 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2023-02-08 10:51:37.975811 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2023-02-08 10:51:37.989774 ; AssemblyFinder ; Debug       ; Found 7/23 assembly files. [11.3 ms]
2023-02-08 10:51:38.005735 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2023-02-08 10:51:38.055566 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Jonatan\AppData\Local\Temp\xby5zdql.fhj\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2023-02-08 10:51:38.088439 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Jonatan\AppData\Local\Temp\xby5zdql.fhj\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2023-02-08 10:51:38.180213 ; Searcher       ; Debug       ; Ordered 7 assemblies according to references. [179 ms]
2023-02-08 10:51:38.259998 ; PluginManager  ; Debug       ; Found 4 plugin assemblies containing 168 plugin types. [262 ms]
2023-02-08 10:51:38.259998 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
2023-02-08 10:51:38.259998 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll
2023-02-08 10:51:38.259998 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll
2023-02-08 10:51:38.259998 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
