2022-09-19 15:40:44.485668 ; Session        ; Debug       ; Session log loaded as 'C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug\SessionLogs\PackageManager 2022-09-19 15-40-44.txt'. [10.5 ms]
2022-09-19 15:40:44.502579 ; Session        ; Debug       ; Running '"C:\Users\Jonatan\AppData\Local\Temp\iv1uvfk2.c4i\PackageManager.exe" --isolated --force --target "C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug" ' in 'C:\Engineering\Projecten\LedsGo\versie6Stroom\OpenTap.Plugins.LedsGo\OpenTap.Plugins.LedsGo\bin\Debug'.
2022-09-19 15:40:44.534493 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-19 15:40:44.534493 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-19 15:40:44.559427 ; AssemblyFinder ; Debug       ; Found 12/40 assembly files. [15.7 ms]
2022-09-19 15:40:44.559427 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2022-09-19 15:40:44.590345 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Jonatan\AppData\Local\Temp\iv1uvfk2.c4i\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-19 15:40:44.599331 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\Jonatan\AppData\Local\Temp\iv1uvfk2.c4i\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2022-09-19 15:40:44.617309 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Jonatan\AppData\Local\Temp\iv1uvfk2.c4i\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-09-19 15:40:44.756943 ; Searcher       ; Debug       ; Ordered 12 assemblies according to references. [191 ms]
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Found 9 plugin assemblies containing 215 plugin types. [300 ms]
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Found version 1.1.1.0          of Keysight.OpenTap.Licensing.dll
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of PackageManager.exe
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Editor.exe
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.CommunityEditionPopup.exe
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Found version 1.0.0            of OpenTap.OSIntegration.Windows.dll
2022-09-19 15:40:44.864650 ; PluginManager  ; Debug       ; Searched 12 Assemblies. [301 ms]
2022-09-19 15:40:44.888549 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [683 us]
2022-09-19 15:40:44.891542 ; PluginManager  ; Debug       ; Loaded OpenTap. [132 us]
